Date : 2025-06-26 19:26:32
Directory : c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework
Total : 108 files,  6849 codes, 207 comments, 892 blanks, all 7948 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C#       |        105 |      6,404 |        198 |        888 |      7,490 |
| XML      |          1 |        427 |          7 |          0 |        434 |
| PostCSS  |          1 |         13 |          2 |          4 |         19 |
| JSON     |          1 |          5 |          0 |          0 |          5 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                               | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Management\ProductRelated\CreateFilterAttributeDto.cs          | C#       |         12 |          0 |          1 |         13 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Management\ProductRelated\CreateFilterAttributeValueDto.cs     | C#       |         11 |          0 |          1 |         12 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Management\ProductRelated\CreateProductDto.cs                  | C#       |         44 |          0 |         16 |         60 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Management\ProductRelated\UnansweredQuestionDto.cs             | C#       |         16 |          0 |          2 |         18 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Management\ProductRelated\UpdateProductDto.cs                  | C#       |         40 |          0 |         13 |         53 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Order\CreateOrderDto.cs                                        | C#       |         17 |          0 |          3 |         20 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Order\OrderCardDto.cs                                          | C#       |         17 |          0 |          6 |         23 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Order\OrderDto.cs                                              | C#       |         19 |          0 |          8 |         27 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Order\OrderItemDto.cs                                          | C#       |         16 |          0 |          1 |         17 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\ProductList\PaginationDataDto.cs                               | C#       |         16 |          0 |          1 |         17 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\ProductList\ProductCardDto.cs                                  | C#       |         18 |          0 |          1 |         19 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\ProductList\ProductCardPageResult.cs                           | C#       |         12 |          0 |          2 |         14 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Product\ProductDto.cs                                          | C#       |         91 |          7 |         12 |        110 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Extensions\CloudinarySettings.cs                                    | C#       |         13 |          0 |          1 |         14 |
