"filename", "language", "XML", "Markdown", "PowerShell", "JSON", "comment", "blank", "total"
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\packages\System.IO.4.3.0\ref\netcore50\ja\System.IO.xml", "XML", -2264, 0, 0, 0, 0, 0, -2264
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\packages\System.IO.4.3.0\ref\netcore50\ko\System.IO.xml", "XML", -2262, 0, 0, 0, 0, 0, -2262
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\packages\System.IO.4.3.0\ref\netcore50\ru\System.IO.xml", "XML", -2023, 0, 0, 0, 0, 0, -2023
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\packages\System.IO.4.3.0\ref\netcore50\zh-hans\System.IO.xml", "XML", -2237, 0, 0, 0, 0, 0, -2237
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\packages\System.IO.4.3.0\ref\netcore50\zh-hant\System.IO.xml", "XML", -2246, 0, 0, 0, 0, 0, -2246
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\packages\System.IO.4.3.0\ref\netstandard1.0\System.IO.xml", "XML", -2151, 0, 0, 0, 0, 0, -2151
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\packages\System.IO.4.3.0\ref\netstandard1.0\de\System.IO.xml", "XML", -2151, 0, 0, 0, 0, 0, -2151
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\packages\System.IO.4.3.0\ref\netstandard1.0\es\System.IO.xml", "XML", -2090, 0, 0, 0, 0, 0, -2090
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\packages\System.IO.4.3.0\ref\netstandard1.0\fr\System.IO.xml", "XML", -2201, 0, 0, 0, 0, 0, -2201
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\packages\System.IO.4.3.0\ref\netstandard1.0\it\System.IO.xml", "XML", -2123, 0, 0, 0, 0, 0, -2123
