"filename", "language", "C#", "JSON", "XML", "PostCSS", "comment", "blank", "total"
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Models\ProductModels\ProductImage.cs", "C#", 14, 0, 0, 0, 0, 1, 15
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Models\ProductModels\ProductQuestion.cs", "C#", 18, 0, 0, 0, 0, 2, 20
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Models\ProductModels\ProductReview.cs", "C#", 16, 0, 0, 0, 0, 1, 17
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Models\ProductModels\ProductVisit.cs", "C#", 16, 0, 0, 0, 0, 1, 17
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Models\ProductModels\SubCategory.cs", "C#", 19, 0, 0, 0, 0, 2, 21
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Models\Users\Address.cs", "C#", 18, 0, 0, 0, 0, 4, 22
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Models\Users\User.cs", "C#", 15, 0, 0, 0, 0, 3, 18
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Properties\AssemblyInfo.cs", "C#", 15, 0, 0, 0, 16, 5, 36
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Repository\CartRepository.cs", "C#", 45, 0, 0, 0, 0, 8, 53
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Repository\OrderManagementRepository.cs", "C#", 100, 0, 0, 0, 3, 18, 121
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Repository\OrderRepository.cs", "C#", 126, 0, 0, 0, 0, 21, 147
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Repository\ProductManagementRepository.cs", "C#", 631, 0, 0, 0, 15, 143, 789
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Repository\ProductRepository.cs", "C#", 282, 0, 0, 0, 9, 53, 344
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Service\ImageService.cs", "C#", 49, 0, 0, 0, 0, 9, 58
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Startup.cs", "C#", 38, 0, 0, 0, 4, 7, 49
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\TechtonicFramework.csproj", "XML", 0, 0, 427, 0, 7, 0, 434
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\libman.json", "JSON", 0, 5, 0, 0, 0, 0, 5
"Total", "-", 6404, 5, 427, 13, 207, 892, 7948
